Tweet,emotion
Ive felt surprisingly gloomy about my bad scouts today :'D but i recognize that it's all just RNG and yeah I didnt spend that many gems,sadness
"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",anger
@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,anger
@loismackey_ @Dory nah way that's horrible,anger
@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,anger
angel delight is my everything,joy
Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,anger
In dire need of a worship session to just let go of everything,sadness
I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,joy
This is the first time I've been sober on my birthday in 6 years. #recovery #sobriety #sober #soberissexy #sobernative,joy
Weak people revenge. Strong people forgive. Intelligent people ignore.,anger
I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage,anger
"I'm so proud he understands this, he shows love, thought and compassion    and it's not done in a clouded way..",joy
Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK,joy
@Bridget_Delia @originalaubs omg that's terrible,sadness
"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein",other
"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...",other
"Jorge deserves it, honestly. He's weak.  #90dayfiance",anger
Modern family never fails to cheer me up. Especially Phil.,joy
Sometimes I get to sit back and be proud of myself for pleasing Him so well.,joy
Follow me on Snapchat 👻 Carlabtst15 #snapchat ,joy
@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),anger
It's way too hard not to get discouraged.,sadness
@JessicaZ00 @ZRlondon ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents #cheer,joy
"Somewhere I rd a rpt tht Pakis wr afraid of TSD &amp; asked it 2 shut dn. Congis obliged &amp; exposed it,hounded them.time to revive. #BadlaofUri",other
"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff",anger
Manchester derby at home ,joy
"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern",anger
"@Girlandlurchers Yep, peeps on here always out to cheer others up! I'm fine, drooling at GBBO x",joy
@JaredWyand Maybe if it was transgender the media would cover it #outrage,sadness
her; i want a playful relationship\nme; *kicks her off the couch*,joy
Romero is fucking dreadful like seriously my 11 month old is better than him.,anger
Each day is what you make of it! #goals #challenges #business #goals   #success #photographer #photography #ThursdayThoughts,joy
Since the 'update' my @iPhone loses power nearly 40% faster. ,sadness
"@KatherineArabis It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological.",anger
"All clouded out.\n\n Considering using a camera, 1) star trails 2) eyepiece projection.",joy
@KMunie7 @KaranEsch Helluva lot more animated than they were for the actual game &gt;.&lt;,joy
@onefumi oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,sadness
"Anger, resentment, and hatred are the destroyer of your fortune today.",anger
Optimism leads to success. - Bill Kerr @Coach__Kerr #success #optimism #goals,joy
@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 ,sadness
so gutted i dropped one of my earrings down the sink at school,sadness
The Quarterback' wrecks me every time.. #glee,joy
"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom",other
"Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.",joy
“ My courage always rises at every attempt to intimidate me.”\n-Elizabeth Bennett (Pride and Prejudice)\n#Quotes #Courage #FaceYourFears,other
"it's still not sunk in that im seeing joe next month, im so grateful and excited shit",joy
"It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, @keratx! Still kicking myself for being to shy to hug @mcuban.",joy
I'm so bored and fat and full and ridiculously overweight and rolls galore ,sadness
The Sunderland time line is quite funny with all the doom &amp; gloom in facing us and the long trip to us midweek. #whatgoesaroundcomesaround,joy
"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work ",joy
"@happyandbashful Flirt, simper, pout, repeat. Yuck.",anger
"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.",anger
There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,anger
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,sadness
"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb",anger
Nor hell a fury like a woman scorned -- William Congreve,anger
"@icapturpix @DRUDGE_REPORT I agree. This current, ultra-left Democratic party lost a lot of members, including myself. I switched to Repub.",other
@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind ,sadness
"@antoboyle I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad",sadness
@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness ,sadness
"Val got a little too big for her hiking boots with that bakewell, the little terror #GBBO",joy
@Myahrissavietta I'm cheery now 😘😉,joy
Bridget Jones' Baby was bloody hilarious 😅 #BridgetJonesBaby,joy
@dublinwaltz bts' 화양연화 trilogy MV is my all time fav🙌 quite gloomy but beautiful as well✨,joy
Brad Pitt being investigated for child abuse?! this all just got really #dark,sadness
Watch this amazing live.ly broadcast by @matt.boss  #musicallyjh,joy
should I #start posting #photos?,other
@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,anger
Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious,joy
Need a new outlet for #rage,anger
Watch this amazing live.ly broadcast by @brooks_swaggysquad  #musically,joy
Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is 😂 #HereWeGo,joy
@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great #sting #xph,joy
@PatBlanchfield so you mean “like Uber but for despair for someone other than the driver',other
@buzzlightbeard2 If you don't love yourself... Honesty is the best policy #smile,joy
"@healeyraine I'm offended, I actually am",sadness
"In my room 101 would go  Russell Howard,Tom Odell,Michael Buble!!! #pants #nogood ",sadness
Gaaaaaaaad! Should have stayed in London!,sadness
May the optimism of tomorrow be your foundation for today.,other
"@GambinoDeeJay @Linda76Graham @mikeeshy \n\nAnd also, trying to find it on Youtube is a fucking nightmare.",anger
"@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty",joy
@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain ,anger
@andreasarahco do you actually heely on campus bc this should scare you,other
#GetSmartWithARQ is a smart way to start investing and #whiteicenetwork is smart source 2 #start #skilled #manpower #recruitment for ur firm,joy
Omg I actually thought she was going to jump. #bully #SouthPark20 #southpark,other
@STLouis_RamsFan their whole team is limited when they're on the field. ,joy
"Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815",joy
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression  #anxietyprobz",sadness
"This night is sparkling, don't you let it go! I'm wonderstruck, blushing all the way home..' #ValerieBot",joy
The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,joy
People who go the speed limit irritate me,anger
#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx 🎶 xX,joy
Last @LGCanada product I buy - I promise! Absolutely  #CustomerService,anger
@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,anger
@jamiesmart Huh! It's always my fault isn't it &gt;:( #huff #sulk,sadness
@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,sadness
@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ ,other
"@Johncrookshanks 'Elizabeth Smith!' She said with a cheery smile 'Pleasure to meet you, sir! Where have you travelled from?'",joy
My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years,sadness
"James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter  #shouldofVotedforNicole",sadness
I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,anger
@AzyraiZelo I am shy xD,sadness
After what just happened. In need to smoke. ,anger
Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her,anger
"@JohnDotWhite I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.",joy
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,anger
I came to work for no reason 😩🔫\nI could've stayed in bed,sadness
That old lady is cray cray #scared #BellaIsSoCute #awe #Empire,other
@MatherFamilys @SDICenter @CAllstadt \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?,anger
hi my names anxiety and i have shaun,other
"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat",sadness
Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney,anger
"Ha! @mquirk @joshuahoodbooks Got your book after our 'meeting' at the Starbucks in NOLA. If Josh says it's terrific, I'm all in.",joy
"On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away 😂😭",joy
"@Cpt_SRogers_\n'Well it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --",anger
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz",sadness
Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:),joy
#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis,joy
"Although this war will be under the guise of combating terrorism it will in fact be a war against poverty, ignorance and just stupidity.",anger
God we need a new goal keeper! They’re both horrific.,anger
@maggyvaneijk Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare,sadness
"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't ",sadness
"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky",other
wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,sadness
I am worried that she felt safe. #unhappy,sadness
"I look at some of the average players that play at the min and pine Nani, Rafael , RVP ,",joy
#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the ,anger
"@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. ",joy
Nothing worse than an uber driver that can't drive. #awful,anger
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",anger
Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge.,joy
@RIPPoohSavage u know ion play that shit bout my weary brother,anger
@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,anger
Happy Birthday @Brooke56_56 #cheer #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,joy
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",anger
Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,anger
"We're in contained depression. Only new economic engine is #Sustainability, say Joel @makower + @markmykleby @ #VERGEcon. #NewGrandStrategy",sadness
Solid starts by #Bozzelli and #BenEvans. Hoping for a good #start !,joy
@DepressedStride &gt; huff louder,sadness
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",joy
There's a certain hilarity in people angry at protests against the national anthem or the flag when these acts are covered by 1st Amendment.,anger
@Cherie_Fitz it's being extremely playful,joy
I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged,anger
"CommunitySleepCoach: Look at these #narcoleptic #puppies. Make you #smile. If you are human &amp; find yourself in such odd positions, seek #th…",joy
*Sigh* #depression #saddness #afterellen #shitsucks,sadness
@Evan_McMullin He's spent his campaign dividing people up and pitting them against each other. His message is to fear and resent the 'other',sadness
@_MariaPetrova should have stopped after 'smiled'. Being rude=not the same as being funny.It was just being mean #bully  #stoppickingonwomen,sadness
"@01Starblazer 9 -9 vs Atlanta this yr, 2 - 11 vs Rockies and DBacks this yr. That's a combined 11 - 20 vs 3 atrocious teams in NL #awful",anger
I see I'll be hovering over the block button today with much glee.,joy
"@LaneWoolery @FFKazman experience all plays a role in that, it's education and preparedness not fear",other
"@bt_uk appointment booked between 1-6 today, waited in all day and nobody showed up, also requested a call back and never got one #awful",anger
@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness #delight #happyme,joy
Summer officially ends today. #sadness,sadness
@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone,anger
"Be happy. Be who you want to be. If others don't like it, then let them be. Happiness is a choice. Life isn't about pleasing everybody....",joy
@F1abraham holy shit...what the hell happened to your lips!! Fix that shit! #mtv #teenmom #horrible,anger
"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! ",joy
final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness
Maybe the entire Russian team will test positive for meldonium and the North Americans will get to replace them ,anger
Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/ #angry #annoyed,anger
@kcbbcxo don't get discouraged! it's early on &amp; it can get overwhelming. keep reading &amp; use cue cards 😊 it'll get better!!,joy
I need a bit of #GBBO to cheer me up after a terrible day!,sadness
When @idinamenzel says she's releasing more #IdinaParty tickets and you set an alarm to not miss it... #fingerscrossed #Idina.,joy
@JackCurryYES he's just lucky...bad pitchers...#WHATEVER...ElKracken is #legit #future  #gottawearshades #LetsGoYankees,anger
in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,anger
I was not made for this world. #empath #unhappy,sadness
"Df not be afraid to take a chance on peace, to teach peace, to live peace.Peace will be the last wordvof history Pope John Paul II",joy
"@pugglelover3691 some of those haters are just taught hate and not shown love. There is a good quote that goes to your comment tiff, treat",sadness
i'm... nervous about this test rip,sadness
"Tiangong 1, China's first space laboratory, will come to a fiery end in late 2017. The average decommissioned satellite either burns ...",other
@enews #breezy deserve it..,joy
"@TheJonFedor @abdophoto My main hesitation to going to the Plus size. But if Apple can get the Plus to the 6 size, think of the ASP jump",sadness
#chirp look out for them Cars coming from the Wesszzz,other
"@GOP she's ahead in the polls &amp; after Trumps dismal performance at upcoming debate, it will be an easy win for Hillary.",joy
Ryan Gosling and Eva Mendes finally  ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love,joy
"@leighsteinberg April 25th, 2010 for me. Keep up the good work!! #sober #prouder",joy
"Hey u never know, Channel 4's version of #GBBO might actually be quite good. A few adverts aren't the end of the world. #optimism",joy
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",other
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,sadness
"Wow... One of my dads top favorite throwback rappers just died in a fiery car crash today in Atlanta, so sad so sad 😷😷",sadness
I can't wait for you to listen to my new single 'Mystery' and my new album😋. #newmusic #newsingle #newalbum #2016 #popmusic #dark,joy
Your future is bright. #Remember,joy
Lets start there,other
Anybody know a good place to book a show in #Montreal on short but not super-short notice? #punkrock #postpunk #blues,other
"Don't be #afraid of the space between your #dreams and #reality. If you can #dream it, you can #make it so",other
"@Harry_Styles 💖\nHeart so pure and smile\nso bright, I love you\nmore than the number\nof stars at night.\nKindly follow me please\nHarry?\n—90,127",joy
finally leaving my first job soon. i've been working here since i was 16. going to be kind of bitter sweet,sadness
"As your own lives in order to complete our amazing life journey successfully, it is there. ",joy
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months #horrible,anger
Hope I sleep - no nightmare of Bakewell tarts #yuk  #GBBO,other
will brawndo cure my depression? @MikeJudge #Idiocracytoday,sadness
Why is it that we rejoice at a birth and grieve at a funeral? It is because we are not the person involved. ― Mark Twain,other
"#TheWordOfGOD #taught, #preached #correctly will #ComfortTheAfflicted &amp; #AfflictTheComfortable; it will #offend &amp; #TellTheTruth #AboutSin!",joy
#india will take #revenge  by making 3 new movies like #phantom and they will be like #ghus_k_maren_ge this is how indian army take revenge,anger
@Rovers what highlights ? I would imagine you will only have 30 seconds of highlights for the whole season so far . #venkysout,other
I dislike people who get offended by the littlest shit .,anger
@salutetroye you look adorable awe,joy
@alyssasimpson21 I gave up KENDRICK LAMAR to eat barbecue with him. ,joy
"@Gsmsbooksrus @goodreads 'so shines a good deed in a weary world' Roald Dahl, Charlie and the Chocolate Factory",joy
New play through tonight! Pretty much a blind run. Only played the game once and maybe got 2 levels it. #Rage #horror,anger
F'n morons u23 SMFH can't just be lackadaisical,sadness
@shae_caitlin ur road rage gives me anxiety.,anger
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,joy
@chrisrock brings back great memories of hilarity on #SATURDAYNIGHTLIVE,joy
@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,sadness
"significantly, with a #bitter smile, 'let me",anger
@HoustonTexans just trying to go home tonight? A run on 2nd and 20 and a run on 3rd and 20? That's what champs do...#sike #losers #terrible,anger
@FlannelJedi This is why I drink and watch You're the Worst as a way to cheer myself up.,sadness
@KennyCoble @Rosie these horrific situations will only get worse if trump is elected. vote Hillary.,other
@Tomstarling86 He didn't have many chances to show what he can do but looked lively and had a good shot tipped over the bar before the end.,joy
Need advice on how to get out of this rut!!!!  #needmotivation,other
in health we did a think about depression and now i feel like i have it,sadness
@D_McMenemy It'll be easy to spot the parade of tiny weans in expensive jammies. Really is hilarious!,joy
"mattmilne76 Thank you for letting us know!  Please do not hesitate to contact us in the future, if our assistance is needed. Thank you!",joy
Are there any #horror sites that would be interested in my writing a guest article/review? Been really craving a literary outlet lately.,other
“Worry is a down payment on a problem you may never have'.  Joyce Meyer. #motivation #leadership ,joy
Muscled man with huge heart is messing with my brain and heart. #lost #confused,sadness
Follow this amazing Australian author @KristyBerridge #fiction  #zombies #angels #demons #vampires #werewolves #follow #authorlove,joy
@Morning_Joe @JoeNBC @mikebarnicle Trump says the refugee situation 'is not just about terrorism it's about quality of life.' Take note.,anger
@rosalilium I'm wearing all black tomorrow to mourn. 😭💔,sadness
"@Courteoussoul @MattyMcDee I'm at 349 and just decoded 20 or more blues and not one was over 340, where you getting your blues?",other
@TeaPartyOrg Hes right when the Civil war starts it will be wall to wall terrorism and i don't fancy the Muzzy's chances,anger
@TauDeltaPhiDK THANK YOU FOR MY OBAMA CUT OUT!!!!!! I am elated that he's back home😍,joy
"@MannersAboveAll *laughs louder this time, shaking my head* That was really cheesy, wasn't it?",joy
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !! #awestruck #longingformore,joy
"@DeionSandersJr @DeionSanders so bad...Slash prices or send them to refugee camps, like team gear after they lose championships. ",sadness
When my 4yo is gone I blast gothcore music. She has #anxiety &amp; I can't listen 2 it around her bcuz it's 'too spooky'. *sigh* #momlife,sadness
"It's pretty clear I can't stand @HillaryClinton, no tolerance for habitual liars. Not a Trump fan either so what's a citizen to do? ",sadness
@LeafyIsHere will showing off biceps scare you?,other
@TeamGrout glee,joy
Awake at 5.30am with a seriously bad throat 😩😩😩😩😷🤒 glands feel huuuuuuuge and I'm in uni soon! #grim,sadness
courage the cowardly dog is like american horror story for kids,other
This is awful,other
Gloriosa Bazigaga on #Rwanda work: 'I lost relatives in genocide but 15 yrs of peacebuilding has given me optimism it's within our power',other
Finn singing 'Can't Fight This Feeling' in the shower and Will spying on him is one of the best scenes on any show. #glee,joy
@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process ,sadness
"Texans and Astros both shut out tonight. Houston, we're back to normal. #texans #Astros #sadness #losers",sadness
@downeysduckling nick fury,anger
and I'm up from a dream where I said something really retarded on twitter and it got like 10000 retweets #nightmare,sadness
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months ,sadness
The race advances only by the extra achievements of the individual. You are the individual. ~Charles Towne\n  #inspire,joy
"@alliex both, scrap *ll the rage instead",anger
Just told me wife there was a chance it would be 2 Sydney teams in AFL grand final. Her response: 'there's two SYDNEY AFL teams?' #serious,other
I think they may be #offended,other
@Fra93_bruno wow I'm just really sadden by that. Terrible,sadness
I meet new people and I had to grow up with the reality that people can be desgusting and fake and so I lost my cheerfulness and started to,anger
I hate that a black lady is painting herself white on the internet for laughs and likes...  #BadForm #DidntLaugh,sadness
can't believe Mint fest is two days away and i hate my outfit 😩😩🙈 #nightmare,sadness
Urgent need to get a new job. The constant gloom of my current one is getting a bit ridiculous now.,sadness
Eat my ass' is no longer an insult,sadness
These girls who are playful and childlike seem to have such lovely relationships. Can't imagine them having serious convos but it's cute  😍😍,joy
"It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #punny #lol ",joy
So is texting a guy 'I'm ready for sex now' considered flirting?' ,other
Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed ,joy
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy
Impractical Jokers...practically genius!!!  @BQQuinn  #good4thesoul #ImpracticalJokers #bingewatching,joy
@Budget  car rental you have made realize why I always use @nationalcares!!!!  What a !! #disgusted,sadness
Why is it so windy? So glad I didn't ride my bike. #fear #wind,joy
"The point of living, and being an optimist, is to be foolish enough to believe the best is yet to come' - Peter Ustinov #optimism #quote",other
@PatVPeters @FreeBeacon Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags,anger
My ukulele bag has fallen apart. 😐 WELLL AT LEAST my life hasn't yet!! #Joys\n\n#quote  #problemsolving #behappy,joy
"Brb, going 2 start killing random white people going about their normal days. Don't worry though i'm white, so they will safely apprehend me",sadness
".@marcorubio mentions his high school-aged daughters, 'should be a joyous occasion' when they go to college, not bring 'fear,' 'trepidation'",joy
@swarbleflop @LightskinJesuSP they're both pretty awful when you look at them historically,anger
"@my2k aaa Cam animated that, so proud of our boy",joy
Having a terrific Tuesday? Crush it today with the Power of 4. Treat your internet like Pizza =D \n#PowerOf4,other
Watch this amazing live.ly broadcast by @mrgummyking #lively #musically,joy
broken policy' #blasio &lt;&gt; #trump #giuliani 'broken windows' all part of 'pecking order' #bully politics #america RESIST #motto,anger
"Mate the thing I get excited about in my profession are mad. A client said she opened her bowels, I'm rejoicing",joy
@ScmCIafIin 'Don't you know how nervous I was to see you?',sadness
@coopah Worst than going to the morgue to do a positive ID. #horrible Reuters,anger
@suddenlyapples This is an on-going affliction for me and the only cure is more Shiro,sadness
jstor's lingua obscura articles are always such a delight,joy
Feel the wrath of my air-dropped pamphlets!,joy
@TheOneSoleShoe that is one thing but attacking and hating is worse - that makes us just like the angry vengeful behavior we detest,anger
"@LuluLemonLime83 wow , your right they do need help,so what I'm getting from the Laureliver fandom and bitter comic fandom and",sadness
@MichiganBromo Good optimism sir :),joy
I'm such a shy girl🙄,sadness
PASTOR - 15 FEET away from shooting victim during protest says he is skeptical of official story.  #CharlotteProtest #CharlotteRiot,other
What we fear doing most is usually what we most need to do.' ~Tim Ferriss #inspiring #inspired #motivation #fear #success #hustle,joy
"@noveliciouss OMG, that's such a beautiful quote.  #amwriting",joy
Some of these fb comments and/or tweets should make some people realize why black Americans feel the way they do 😳 #terrible,sadness
mmmm i'm kinda sad i hope i can shake this before school,sadness
Every day I think my #house 🏡 is #burning 🔥 but it's always just my neighbor burning their #toast! 😷😡🍞,joy
"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.",anger
"@BratzHead happy birthday to the most beautiful cheerful sister ever, llnp 💕❣🎉",joy
