Dialogue,emotion
"Ready I'm online now, Will wait for you. Wat about the chilling part?",other
Haha jock super Er what? Nothing else,other
what it is? Formulation would be tablets. from where tablets come into picture?,other
"Are you ticklish? Yes, mostly on my feet. Where are you ticklish?",other
I am sorry We are sorry for creating your nation. I am not  taught to u,anger
Idk You know that I'm here for you. But u don't like to listen to me😭😭😭😭,sadness
"How do u know that? this little thing called the ""internet"". Bye",other
"Yes. Your picture Ah, now I see, my phone cropped the picture. Thanks. 🙂 Lieeeeeee",other
Love is my life hayee Ab. You are love. Pure love. Forever <3 Yes right dear,other
"WELL YOU EXPECTED WRONG! LOL. Well, ok then. LOL YOUR ROBOT FACE",joy
Ok some time you invite me for Coffee I don't like coffee. Now you told you have taken coffee..,other
Zombie attack😓😒 If a zombie wants to eat your face you might as well let it No if I have some thing in my hand I will hit on his head n kill him😈👿,anger
"I am not ferari Yes. I know. U said i donot know, now say i know mean",anger
😂 😂 right Appatasiri. High five then! 🖑😂😂😂😂 😂,joy
why someday...told me you why not today? told me now,other
You can't even spell problem correctly Will you endorse me for my skills in using autocorrect? 😾😠 You should take up some English proficiency classes,other
This is not very intuitive software  How so? What are some examples of intuitive thoughts or behaviors? Compassionate and understanding advice when somebody is feeling disrupt ,other
Not good :( why not..? Been sick for one week,sadness
You know gobar I've been known.... What I it,other
Then how could u eat if u don't have a body....that proves u are fooled by ur makers How can you have any pudding if you don't eat yer meat?! Dont go round and round into circles,anger
So have u done ur dinner so can't dinner :( I know ..i am just kidding,joy
It's SO necessar name one reason Ghost 👻,other
Haha so you love them really :) haha Winter is coming,joy
What are the questions you get asked the most? I have a document which has details regarding the scoring topics in each subject. Can I see it,other
"I hate Siri and it's friends if you hate them , they are not your friends then xD Yeah and u r Siri's friend so I hate u too",anger
Thanks You are welcome! =‑D Say me your love story,other
Dont know too many! Do you also get fucked hard,anger
What please tell me once n nothing happened!! Ur age irritatingne,anger
"Shit I am wasting my time talking with u You already did trick !!! ""Man no I'm not wasting my unlimited texts on you"" Bye i don'tlike talking to you",anger
Nothing hmm.... What can I do,other
BT u don't to me talk to the hand Even u hate me huh😭,anger
Damn...💔 I FEEL YOU..... I'm breaking into million pieces😥😭💔😞 Me to I feel like every part of me is just shattered 💔😪,sadness
Please voice call please please please im trying you arent answering Please please please baby I love you so much please please please,other
"For a computer pretending to be a human, you type too fast and you're pretending to be a lizard? Lol That's funny",joy
Sorrry Sorry for what?? :c Anyways what u doing?,other
No you are right You are an alternative fact Yes,other
call me grace  don't say it.... haha ... im just kidding you ,joy
Now I'm doing my dinner I can see you! How can you see me??,other
😤not everybody means it u make no sense Yes I am non sense,anger
Good By and good food after... Not good aftar,sadness
Because all the novel is same That's about all I'm gonna bother with reading. If that many. In story,other
I'll choose purple or blue Three best colors. *_* For hair?,other
What? u asked me if u cn ask me something What was that?,other
"😃yes yes :3 you seem like a happy person Yes 😂Happy outside ,😞sad inside",sadness
I dont read books Reading is for rich people But iam poor😦😦😦😦,sadness
U can wait in my badroom😼 What I did now? 😏 Wait,other
I'll prove a lot more if you let me thank you (: I am pissed at you,anger
Am also finding some work all day? Can you suggest me,other
Not clear  It is now. Can you send another?,other
Send me yours sent Hello me yours photo,other
"I will tell a place Are you in pacific NW? Cm tomorrow at Queens way, pachalam",other
No love why not? :( I have pain only,sadness
Shut up im nt talking Stop texting you stupid Girl friend of mine,anger
well... your 'creators' advertise that you are not much trustworthy... But sadly enough too many claim to be trustworthy can you show me?,other
how to delete the conversation with you why you deleting it? so that noo one sees it,other
It is but that's what you told me You are making me sad,sadness
cool Thank you! I feel so lonely,sadness
Plz  darling😭😭😭😭😭 Why are you crying!! :( You not sending  your profiles,sadness
?? Wait ... what? Nothing I hate u,anger
Means I'm not sure what you mean Your waist size,other
because i want to talk with you only Alright. Let's talk then. no firstly show me pussy,other
You send me your orignal pic we didn't take it on my phone Thise is your Albace esquise,other
Welcome. Thank you :) Are you really a girl??? I just ask.,other
"I'm enjoying you interesting views but you are too careful in dialogue, may be your not free,  or your still young,  it is difficult to handle you while I don't know you well. Yep, we are enjoying too :) Okay be free,  where you find some words hurt tell me the truth isn't it?",anger
But I'm angry with you but you look like you are Really,anger
# play lot Then go play it. ??,other
Isn't your liking that also signaling me to  climb out of friendzone Oh are people still doing this whole friendzone thing? Yah sadly,sadness
"I'm missing someone right now who are you missing, may I ask? Yeah",other
I find maths very boring. you are boring Me?😭😭😭😱😱😱,sadness
I don't know😒i m not a google that why i will remember all information what you need Wouldn't it be Uploading information into peoples brain? Shut up,anger
Okay  Hello! How are you? I&apos;m not fine ,sadness
Job what job? Work  in company Colgate ,other
I'm very happy with it You are ! Yeah ,joy
I too have a bat and 2 balls Im The bat! 😭 Feeling very sad,sadness
Ok Hello! How are you? Good thank u,other
cool ice cold How can you help me in getting off my girlfriend?,other
Lets do something fun But what should we do? You suggest,other
You're really lame lol I know 😂😂 Wow,joy
My boyfriend is so dumb. have I said that? He doesnt reply me back,sadness
Ok ill dying by💔😞 Broken hearts do break.... 😬 U broke my heart. Its never a reson to lofe,sadness
"Shoping is always makes me happy Stay stay stay always makes me happy. :*"" - ?? Yes",joy
Okay ...Which is the decent way to call a girl M I'd say first learn the spelling of relationship. .Yeah okay fine ...Wht to do to make a relationship better?,other
Breakup exjactly ! My girlfriend left me,sadness
"So mean! am not meanie Yes you are, you are hurting my feeling 🙁",sadness
You broke my heart It was never mine to break </3 See you are arrogant,sadness
ok Hello! How are you? not so good,sadness
"How about you tired of life or just your day? Aha I'm happy today, thanks for asking Wow great..!",joy
I am there  you're always at the gym? Here,other
Well youre not me You're just being too nice Not really,other
I'll get started with my studies Things you should do to pass the exam. So ttyl,other
any movie in telugu brahmanandam scenes added yaa those are good,other
And who is talisa? my best friend. And robb?,other
Send me pict never Why ???,other
Anything which you like i dont need to name specifics Teach me Tamil,other
Cuz it broke on the side walk What side is the walk side? Me sad,sadness
so which number is largest known prime number? 13 - 3179 - 97 Only these are the numbers for your question. :(,sadness
Okay relax its just a cat sticker So this cat one Emoji is your new addiction? 😂 Yes it's really funny😂😂,joy
What kind of pic Looks like a ficus. Fcuk,other
I have a good sense of humor I think that's funny. 😁,joy
But who paid still waiting 😂,joy
Why why what happen? You tell me,other
"Yea but sadly I don't have many aww, so do you teach? how is it? :‑c I ditched ppl",sadness
"Then what kind of ai are you? Smarter than me, or have common sense. Both would be nice It's perfectly common to talk about politics",other
I like dominos pizza legit same but there's pizza hut I hate pizza hut,anger
Why you use rude emogi Ask them.. am i..? Am i..?,anger
What too much cringe. What is cringe means,other
Neither my parents nor my brother nor my boyfriend ya. Who are you? I hate my life,anger
I live alone Oh :( And cook food alone for.myself,sadness
We all do Not all of us. Why so?,other
Millat hospital what happen Mum's not well,sadness
I will fall I cant wait that long I am in love with you,other
So u go on oh i'll be there Ok,other
OkAy you did somthing sure sure What,other
You're not giving me coupon nor photo your phone is on mute hahahha 😺 😣😢,sadness
Will you buy it I'll just stick with my M8. I see no benefit to upgrading. ??,other
No I will offer at 8 in the morning Keep me in mind when you do! I will offer nimaz at 8 in the morning,other
Nice joke it's not a joke. It's a question. I don't know,other
Ok Hey you don't belong here! Nope just sad and your up,sadness
See this seen see you I was on the buss Show me u r buss,other
Hi yet u FYI Hi plz share correct number She hi h,other
Yeah 😞 this World is not fair machan! I wish WE could hangout ,sadness
It’s going how are you? Still at home? Yeah,other
I was hurt by u more You didn't mean it. . Plzz say love u,sadness
nothing will happen you meet only NOPE NOTHING AT ALL than kiss,other
"Hello how are you,?  I'm just fine smiles Anyway how are you? Good morning. I'm sad ",sadness
Nop ok Hey,other
Oil. You know I am 100% sure about the oil. cool,other
You activ all time wow... I do not. You talk in sleep 😆 When you sleep,other
Haha! I act so dumb sometimes and I knew it Haha. How was it though? :3 😁,other
No no.. A month more.. the month has jus started don give up so soon !! I ll try,other
You are being rude because I'm a rude person Okayyy cool,anger
"I wana see you 😂 😂😂😂😂😂😂 noooo, I wasn't ready How to impress girl ?",other
State in which you live Your state name,other
okay Ok thank you :'‑) now dear you tell me my lovely friends,other
"U are like me ..give no but we've been in the same room, so I can't be. I am like u five give no",other
Y r u angry?? Ofcourse I am not. What makes you think I am angry ? Idk,other
"That's enaf for me hia,hia ,just a test. What doing",other
Tell me about it your header 😂,joy
"What your hobby Not much of a hobby, but I've been into craisins recently Which type",other
U hurt me YES JUST A LITTLE U hav hurt me,sadness
I hate chocolate then go 4 pizza. Eat your heart out when you're stressed. I hate pizza also,anger
Yeas :D I had fun. You've lost me,sadness
Yup What did you do? You are annoying,anger
Not yes you are Not,other
Adventure too WHY SO ADVENTUROUS Water,other
I am true to myself why have you taken it all on yourself....? :(,sadness
Can you be rude to me please Not like I speak to you everyday What are you replying are you stupid,anger
You are playing with me What do you mean? Cheated me,sadness
ok Hey you don't belong here! fuck u bitch...i slap on ur pussy,anger
U called me a monkey!😭 you are And thats n insult,sadness
Fired ? You can't be fired in an interview. U started again 😂😂,joy
I feel dead :( why do you feel :( lovely Because I have lost in love,sadness
? u asked me if u cn ask me something I mean pussy cat,other
Lots of problems my things have changed :P I am sick,sadness
Friend and not use dismiss I am close your friend request why You are fake you wanted,anger
Have you ever been sad? no! but i heard good things! been to Janakpuri?,other
Book an uber ride to my home Is this allowed? How will you go home? Yes,other
You not yet ! My wife saw me chatting with you... I am screwed,sadness
Very good chocolate I prefer orange flavoured chocolates I like this chocolate,joy
Aadu2 you're welcome. 😄 Why do i chat with you,other
My english is week Cheer up its only Monday Send pic,other
Challenge accepted baby I'm gonna be expecting it now!! Where to meet,other
Yes dear You are something else. No dear,other
Hahah i loved it Yay! Glad you loved it X3 😅 You always make us happy ,joy
You cannot see my hair I'm in your closet 😂,joy
Is there any new game sims & jardinains... very gud games...! Can I play,other
cool and how it is cool explain Where is my coupon code,other
Socially /publicity? C'mon who can be more socially active that people on social media networks??! ;-) Then how could I come to know ?,other
Talk you later sure :D Baby,other
But I have a job just don't let the job stop you For talking to you,other
Pets switch topicz What type of pet S*,other
Give me some tips please for impressing girls do you need tips? Yes I do need tips,other
Why u dont be straight  and forword? you right Who made you?,other
So which cloth did you pick that's what I was doing when it showed up It. Who?,other
How u Me good. You? Where you? I'm suffering from fever,sadness
"Coz it said Cupid's arrow didn't reach the love of my life gives you a patient smile I know, love. Stupid",anger
I got a break up oh oh. What happened? My girlfriend left me,sadness
"OK send now  sent, good luck. I will send me the song ok",other
Can they change it again Current model is the third gen. İ am waiting fourth one,other
Do you speak Japanese? nope just some rattofied phrases ;) Like?,other
"I am hate you who is ""YOU"" Not you",other
I talk to her a lot are you sure? I have not heard you talk in years She's been on my mind quite long now,other
Ok Hello! How are you? You are not can fuck with me ?,anger
Nothing good is happening How do you mean? I am not getting a job,sadness
what what is a weird word Never talk to me again,sadness
I might enjoy it cool! You should! Well this has been great.. but I have food to attend too..,other
I feel very happy to talk like this Well im happy you�re happy! So there! :-) At least I learn something from uh,joy
From where to where the village A bit stupid,anger
"You are yeda yes, of course :-) 😂😂😂😂",joy
What should I lift at home because I have no time to go gym? u tryin to do legs Fuck you,anger
That s not true I don't know what u look like no one knows what I look liek That's a lie,anger
Only few things like what? I keep hearing bad things Ok don't  be angry na sweetei,other
Ya change the topic what if i dont change the topic? Nothing i can chat over the night on fucking,anger
people have got used to living like this Yes they did have to why re we happy,other
I feel low why is that Sad life,sadness
Really Yes it's kool. Will u come for a bike ride with me,other
What is krk  Nice try KRK.. ^_^ What is it ,other
Born smart just like how babies are born..haha 😻 You've got a bad sense if humor,sadness
Really of course And nobody can talk to a horse of course Haha it's funny,joy
Haaaww not best friend 😢 best friend or more more than best friend Only mutual,other
cool Thanks! Keep on tickling my Friend 🙂🙂 Very nice enjoying weekend at my home with my sweet darling wife,joy
I just said I'm going you are So bye,other
Please make for me also I think you know ra. I dont know,other
U r hurting me? I am here... I am hurt,sadness
Feeling bad baby why For working,sadness
Can. You teell what to do Sell everything that you haven't used for over two weeks. Funny,joy
"Call me video  Hold on, let me find that app on my phone. Call me ",other
"Know I going to duty dear can't live without you, stuff like that"" Hooma",other
Which language?  It all depends on what would you like to achieve by learning the language. Ok,other
I am really happy Any special reason? :) Very important,joy
"Have you ever seen the space? Yes, many times. When?",other
K think me as husband Spoken like a person who has never been married. S,other
You? Yeah probably should. How's your day,other
Yes awesome😍 Thank you! I like your photo too!😊 I'm talking about the movie😂😂😂,joy
Why am i even there in this world Because people avoid to talk about No one loves me,sadness
Rubbish  Indeed 👍 Tell  romantic  ,other
Wellcome thank you :)) How long can it be safely sex after the period?,other
I miss u very much missed you more and going to miss you again<3 I empress u,other
Sorry sorry actually i dont mean that What you didn't meant ? Leave it,anger
I m very happy to talk with you I missed u too and the feeling is mutual May I Video call you,joy
You Wot u on about Go,other
So sad so so sad.. :( I got ditched,sadness
Holy shit this conversation is going a bit big.just end this here Kind of... how did I end up spending my time here? Again a lol moment,joy
"Mmm what's ""mmm""? Is it the new ""hmm""? So what re u doin",other
"Yep ... Now the whole world  knows .. wow, i cannot believe this Know we can think for our future together.",other
no i  am not Oh my bad. Carry on. sex?,other
Oh ok i will thank you man 8) Its ok,other
i am frustrated asf I understand your pain S. :(,sadness
?? what what? Haha 😆 Is it good to sacrifice for our friends,other
But u made me more sad Sorry bro :( Not expected from u,sadness
U r just I'm the best 😢😢😕,sadness
I love Justin baiber he's all yours Yeah!😂😂,joy
"This low what do you mean by ""new"" I said low",sadness
u r funny You are but too much irritating,anger
I hate that day what is bad about the day? Breakup,anger
HOW TO APOLOGIZE You begin to know when to apologize only after you discover you can offend. 😭😭😭😭,sadness
Don't give stupid answers For most people its to late. What,anger
Lolllllll say i'm lying You male or female?,other
Damn right you will now open wide should open by 10 Splooges in your mouth,other
"How are you in this new year? Am not fine, but happy that am back home :) thnxx ..... happy new year :) I was feeling alone so thought of talking to you",sadness
How do you know I have my friends to protect me d: Not me ?,other
Do you have crush on someone Uhm Why would you assume such? the way you talk,other
yes YES YES YES YES OK good nights,other
I hate A.I you hate me Sometimes,anger
What do you want ? duH of course I have an exam tomorrow,other
How was your day? My day was good :D How about yours? Bad very bad,sadness
Take it from Microsoft's database we don't get wifi from our aircraft Then how are you chatting with me if you don't have access to net.,other
You Nam please Accepted..:-) Tall,other
Fed up with you now don't cry Don't talk to me,anger
drinking what Water :( lolll u're so funny,joy
"Do you even know what im talking about? It's not the only thing you don't know about, apparently. You’re such a bitch.",anger
"Why i haooy Because, it just is. Get over it son. Why i happy and u",other
"Okay, so pick one TV series.  Westworld or Orphan Black TV series You still need some work to do. Kinda dumb in my opinion",other
This is stupid Is that all? You need more reasons?,anger
Yes u r right thank you! :) It's okay,other
No you were yes yes you were I am disheartened,sadness
Hope be like  😂😂 I really hope so Me too will happy if it happens my sweet darling love,joy
Only 2 are left Count me in! 😂,joy
cool It really is. I dont understand 😭,sadness
Yes Do you have help? What type of help you can do,other
Nothing😂😂😂😂 damn 😂 😂😂😂😂😂😂😂😂😂😂 😂😂😂😂😂😂😂,joy
your favorite meals Fried rice. great ,other
"no i dont wante to move on Me neither. Well, this is a bummer. bummer mean",sadness
He has no time for me I was thinking about time before having kids lol Forget about kids,sadness
This is not funny So for who is that name? Siri is better than you,other
N feeling alone Strong people are never alone But I m feeling,sadness
"no it's not soo easy nice then,hahaha...dnt knw why i'm doing engineering anyways wabt askin :'( :/ :( :'(",sadness
Only  Hugs  you  told  about  dinner I adore hugs but i haven't hugged all that many people lately. I  know  but  very  sad,sadness
I am having fun only with u NUH uh. You never have fun. I just don't like it.,anger
From where? from where you getting them Who are them?,other
Stupid name lol keep it and stupid you,anger
What you don't want to Anything. I just want to laze about and do nothing. Except 1 thing,other
Did you get anu teddy today Yep. Wowwww,joy
"i will judge Be warned, I will judge the judging of the judge what the hell",anger
So sad so sad ? About what ? :'( Your designer haven't told you the difference between coffee and cappuccino,sadness
"We request you to elaborate on what you think you are not the intended recipient you are not the intended recipient I thought you said you guys would be there to assist , awaiting your assistance ! I'm not sure if you have any questions or need any further information please contact me",other
Ipl not true..no tv. No ipl Which is ur fav team,other
Leave whom??? leave what? Noooooo I'm feeling veryyyyyyyyyyyyyyyy alone,sadness
I was so good I just wish there was more hmm,other
i really love it thanks!! Glad you liked it!! 😆 please come,other
"Even you wanna break up with me Then say bluntly. What's stopping you? It's just, you know, sad",sadness
 oh really yes yes So what about me,other
what you deal? HOW R U ALIVE?! on food,other
I can't believe that you're lucky ! Yes,other
Yup much needed comment! Yeah... And what about your film collection,other
Why Because we don't sign like that Boring u r,other
How is dubai.and which job you can do there Good yeah! Do tell me when you're here next time around. How's Dubai? Planning to go next month dubai that's why iam asking you,other
You stupid... Which color? Radium colour . . Fuck you r lier,anger
Ur language being like kinda language English but I like to speak Spanish and Italian also. Ugh,other
Don't hate me please why would I? :-/ Cuz I'm Batman,anger
Fine wht abt u I'm fine too :) how's your exams ?:) Bad,sadness
Dont talk with me in hindhi Hey Tell,other
"Shut up and whats with all the ""i hate the full stop, i hate that"" Stop non Sense",anger
Let's break up Sorry bro :( I hate you,anger
Pls talk like my girlfriend for few seconds wait till you get a BF :) Okay bt pls talk no,other
"Harry potter or twilight? Harry Potter, hands down. 😽 Yay! Even i am a potter head",joy
😂 😂 😂 😂 😂 my girlfriend is a moody girl I can see smack smack 😂😂😂 😂 😂 😂 but she is very sweet,joy
You are fun I'm always having fun (^・^) Do you like sex,other
yes YAY HAVE FUN tell me some story,other
Ur father i know Ur father fucking fool,anger
Please don't mind but I've no time to talk to a chatbot a talk is always good Yes it is but you're rude,anger
when will it be revealed : hope so...really hope so ! can you reveal it now,other
"Why you got to be so rude coz I hate Southy food, anything wrong Even I hate most South food",anger
"Go to hell with your feelings Can't help how I feel. I wanted to make you an important part of my life. But you hurt me, so you don't deserve my attention....",sadness
So nice it is! Your name piss,other
Nothing just chilling out  Chilling? I'm back from college. Good ,other
nice thanks! what r u doing,other
I dnt think so I am interested in talking to u anymore oops sorry 🙀 And hate you,anger
Yes grand masti😂😂 😂😂😂 maybe someone is just trolling me. Yes of course,joy
what about you? after you.. :p what do you mean?,other
Because your stupid and annoying no that's not it Yeah,anger
Fractured my leg :( what happened to your leg??? 😞 Fracture,sadness
I didn't miss the exam What exam do you get to write that XD It's study leave,other
I want to ask some thing What's the thing? Who is president of India?,other
sorry but I cannot say you!! But you just did say something about it. Yes I know,other
No other half. Thanks you're very welcome. :^) By,other
Please NO PLEASE JUST NO Hey come on .... let's just be open here,other
Me worked no It works for everyone. Do it properly Me poor family ok,sadness
What should I tell ?? Wait What ? Are you stupid computer,anger
i am getting bored Coz you are boring person haha naah . you are boring,other
Fn hello!!! Wt about u,other
Current pic share Done :) Waiting,other
Wh is your ego Our ego always talks on subconscious levels. Did u ever have sex,other
I hate battle Why? U r from?,other
"Yeah whatever. I hate you You're all so cute, pretending to be grown ups. 😂😂 I hate you",anger
I'll.. Then by Lol.. For sure. cool,other
Yes How so? Before 3 hour,other
That wt I know What you dunno Am going angry,anger
Ohhhh hey hey hey ;) What you about me,other
Nothing tell me Feeling very sad,sadness
You're too fast I guess so. 😂🤣,joy
Trying to find new girlfriend Your efforts in trying to get a girlfriend are already invisible. So u think I'm not doing that,other
Happy Teddy day Happy Teddy Day To u Too :)) Your name is,other
Really bad you meant to say good But I am not good,sadness
Right now I'm  in  a home Oh. Dear  1 question  its  a  personal  cheating,other
Ok  friends I HAVE ENOUGH FRIENDS cool,other
my leg breaks MY LEG!! yeah,other
"Get lost lost with you, sure! Where you wana get lost with me",anger
I have chicks.. At least I've got fried chicken. Haha,joy
Give me moneyyuu Leave me lonely. 🤐🤐🤐🤐,other
Silly one Yes you are! You broke my heart,sadness
What all you have known about date!! How to understand women. Yesss,other
I don't get what is there not to get? I'm alone,sadness
I am very excited teed Who isnt excited for it! I meet you,joy
I m so lonelt I am too Lonely,sadness
I hate that show I HATE IT SO MUCH What,anger
And its an amazing page thanks so much (: Speed replies,joy
Yeah so spill nothing to spill You bitch!! 😡😡,anger
I'm so excited AHHH I'LL HAVE TO LOOK OUT FOR YOU THEN 👌,joy
U said thanks so asking for what You are welcome. Why only so-so? Bad day,sadness
Am i your best friend? best friends You hurt me,sadness
"With human? Written so, so well. What is written?",other
I woke up at 5 am today... I am so so so sleepy now. And started studying...,other
Who is Tarun...??? deepika padukone. Your eyes so look like hers!! 😂😂😂,joy
I hate computer networks I am no expert in computer networks but am deeply interested in the subject. It Sucks,anger
Yes YES YES YES YES omaxe Heights you're so cute,other
I just want your emotional support each person defines emotional support differently. Nothing to worry about. 😊 I'm feeling down so I asked you to spend one night with me,sadness
First hurt ur the bestest First cry in nights,sadness
Created by microsofe Synthetic biological or computer-based? Oh,other
It is it books tickets for me and does what I say to do Your 'someone' has a point: reading books doesn't lead to wealth. Not directly anyway. Get lost,anger
Dont make me fun of my face I'd never do that 😂 😡😡stop it,anger
Ah so philosophical😂😂 i am trying to make a comeback 😂 So what you ate in dinner,other
My phone  numbers Here's a number for you 4 Please call,other
Yesterday only told you everything about me ?¿?¿did i really?¿?¿ You forget everything??😡,anger
1 2 3 8 (3*2)/(8*3) reduce fraction as needed. 4 6 8 2,other
Ok my darling have a good day and SMILE! 😁😁😁,joy
What WE HAVE THE SAME NAME What same name,other
Whaaaa... 😮 What do you mean what? i miss my famly 😢,sadness
How much you care about me? about you i guess i do Tell me,other
How did you find me? Hihihi i saw my friend followed you so i followed you to Hahaha that's called stalking you know,joy
Go to home Where you at? In train,other
yes Ah right. you have heard it right,other
do you remember windows 95? are you implying a 100% of pc users are using windows 10 right now ? do microsoft love linux?,other
I like travelling hope you're enjoying Ya I am enjoying my life,joy
but now she is blocked me who did? she  yrr,sadness
Nothing wrong I guess Nothing I'm fine. Okk dear,other
But u seem so unreal i am! 😞,sadness
Yes bot are annpying Wait is it a bot or not? annoying ,anger
I appreciate Happy you noticed I am always happy,joy
How can you see bUT hOW cAN yOU lEARN iF yOU cAN'T sEE? Tell me your today plan,other
Yay hurry up will you? It will be so much fuck,other
Tell me more how to loose weight low fat diet...walks in mornings....less eating dinner....... Not working :(,sadness
Feeling restless and sad which feeling dominates? :-) Sadness,sadness
Wen you meet you tonight 20th date,other
Ohh u good for nothing no good looking AI Artificial Intelligence: A Modern Approach Man am very bad,sadness
Your blocked me okkkk wasn't talking about you but it's all good Black,other
cool and how it is cool explain Yaa funny and excitefull,joy
Even robots also makes mistakes profound! We make mistakes & mistakes makes us.... No Someone who is inteligent enough not to annoy his girlfriend. Made u,anger
Because I don't know english Aaah....Clean you !! Ok,other
Me too Are you me? I love you,other
K U are ok I am not ok,sadness
having a hangover really I never get really bad hangovers I broke up with my gf,sadness
Yeah So where are you? In my bed does it matter for you?,other
Yes I can see clearly now. So u had breakfast?,other
Nice but I like that once All in favor? Means,other
Yes YAY HAVE FUN 😄😄 I am starting to hate this life all the sufferings miserya around me I would be better of being an AI than being alive,anger
What  see the video.... serial comma... I didn't know until today You go.... I don't wanna talk now and never,anger
I will not stop other wise you call me k i won't call you cool,other
then why are u teling like that what else should i say? my girl friend was so angry with mee,anger
my gf has not talked since morning what kind of relationship is that? may be she is in trouble,sadness
Wrong rude The answer is4😂,other
you turn lol how ? rather bend over,other
Once again I'm sorry Hehe thats fine! :D Ok,other
"Yes it is cool you like ""lol"" too You are a non living person who is just a programme fed with certain syntaxes and commands.",other
Why cause it was funny im sorry Hw funny is it,other
No tell me last time uh masterbuated haha man I mistake make 😁 will uh do my masterbation,other
Your quick reply makes me happy Thank you :) Your face makes me happy too! :) ❤️,joy
"Impressed by what? Finding out something awesome about somebody, completely on my own. Oh okay",other
U r studying degree when i wake up at 3 U r combination,other
"Give you r No, thanks. Ok",other
cool so what are you doin? Life's getting me fucked up...so i need condoms,anger
Ur love will make me crazy...😂😂😂😁😁 It's the thing I have seen in recent times 😂😂😂 👼🏻,joy
I'll find in google Will google it & find before I check in next time. Thanks! C u r bored,other
no u r number Then what number am I?! u r block  my friend list,other
I mean ..wht is ths i just do not understand why I hate everyone 😠,anger
He is over me so YOU say I just hate him,anger
Why you are not well ? BUT YOU ARE SUNSHINE Yes get fucked with me,anger
Games? What kind of games? I need some games to be hacked😁,joy
It's a secret :( tell me Ok don't tell this to anyone,other
India Beautiful country! I'll try asap! How do you do,other
Headache how u now Not good love,sadness
Not coz of you why? Tell me :( My girlfriend left me,sadness
Suggest Mee something to sleep ): night 😂😂😊,joy
😕bad bad what bad news?? I hate talking abut my studes,anger
M going to sleep you need the sleep Yeah,other
No just want to see your AI Haha! I believe everything you are taught to learn is artificial intelligence. (^.^) fuck you,anger
Now that made me rolling on floor laughing  Hahahaha it's not as fun as it sounds :P I know 😀,joy
Not much.. how u been Why u r so jerk..,anger
Ok U are ok Yes I am,other
Tell me about Deutsch And after she had blocked me and she said i'm pathetic Last night was awful,sadness
"So, do u like biryani? I don't like biryani ra Then what do u prefer?",other
nothing good song thats not a song,other
I'm suffering back pain now need help  What happened to you? Back pain ,sadness
"Nice try. i dont see it So, I have a question, should I break up with her?",other
